format,body,additionalText,options,correctOptions,multiple,abstentionsAllowed,duration
CHOICE,"1. Quale di questi è un nome di variabile valido in Python?",,"1variabile
mia-variabile
_valore_medio
class",_valore_medio,false,true,0
CHOICE,"2. Cosa succede se esegui il seguente codice?

```python
x = ""5""
y = 2
print(x + y)
```",,"Stampa `7`
Stampa `52`
Genera un errore di tipo (`TypeError`)
Stampa `x+y`","Genera un errore di tipo (`TypeError`)",false,true,0
CHOICE,"3. Quale delle seguenti affermazioni è vera riguardo i nomi delle variabili in Python?",,"Sono insensibili alle maiuscole/minuscole
`eta`, `Eta`, e `ETA` sono tre variabili distinte
Possono contenere spazi
Non possono iniziare con `_`","`eta`, `Eta`, e `ETA` sono tre variabili distinte",false,true,0
CHOICE,"4. Qual è il tipo di dato della variabile `risultato` dopo l’esecuzione del seguente codice?

```python
risultato = 3 / 2
```",,"int
float
str
complex",float,false,true,0
CHOICE,"5. Quali delle seguenti stringhe sono valide in Python?",,"'Ciao ""Python""!'
""Ciao ""Python""!""
'Ciao 'Python'!'
""Ciao 'Python'!""","'Ciao ""Python""!'
""Ciao 'Python'!""",true,true,0
CHOICE,"6. Quale sarà l’output del seguente codice?

```python
nome = ""riccardo""
print(nome.title())
```",,"riccardo
Riccardo
RICCARDO
Nessuno dei precedenti",Riccardo,false,true,0
CHOICE,"7. Quale sarà l’output del seguente codice?

```python
eta = 20
print(f""Tra 5 anni avrò {eta + 5} anni"")
```",,"Tra 5 anni avrò 25 anni
Tra 5 anni avrò eta + 5 anni
Tra 5 anni avrò {eta + 5} anni
Errore di sintassi","Tra 5 anni avrò 25 anni",false,true,0
CHOICE,"8. Quale tra queste affermazioni è falsa riguardo i booleani in Python?",,"`True` e `False` iniziano con la lettera maiuscola
`1` e `0` sono sempre diversi da `True` e `False`
Gli operatori logici sono solo ed esclusivamente `and`, `or`, `not`
Le espressioni di confronto restituiscono sempre un valore booleano","`1` e `0` sono sempre diversi da `True` e `False`",false,true,0
CHOICE,"9. Quale sarà il valore di `a` dopo l’esecuzione del codice seguente?

```python
a = 10
b = 10
if a >= b:
    a = a + 1
    b = b + 1
elif a == b:
    a = a - 1
    b = b - 1
else:
    a = b - a
```",,"11
4
5
10",11,false,true,0
CHOICE,"10. Quali delle seguenti condizioni sono vere se `x = 5` e `y = 10`?",,"x < y and y > 0
x > y or y < 0
not(x < y)
x != y","x < y and y > 0
x != y",true,true,0
CHOICE,"11. Quale sarà l’output del seguente codice?

```python
energia = 3
while energia > 0:
    print(energia)
    energia = energia - 1
```",,"3 2 1
3 2 1 0
Continua a stampare all'infinito (diverge)
Non stampa nulla","3 2 1",false,true,0
CHOICE,"12. Cosa fa questo frammento di codice?

```python
for char in ""Ciao"":
    print(char)
```",,"Stampa ogni carattere della stringa su una riga diversa
Stampa solo la lettera “C”
Genera un errore (`IterError`)
Stampa “Ciao” tutto su una riga","Stampa ogni carattere della stringa su una riga diversa",false,true,0
CHOICE,"13. Quale sarà il valore finale di `somma`?

```python
somma = 0
for i in range(1, 4):
    somma = somma + i
```",,"3
4
6
10",6,false,true,0
CHOICE,"14. Quali delle seguenti operazioni sulle stringhe sono corrette?",,"""python"".upper() restituisce ""PYTHON""
""python"".strip(""p"") rimuove la lettera p da qualunque parte della stringa
""python"".removesuffix(""thon"") restituisce ""py""
""test"".removeprefix(""t"") restituisce ""estt""","""python"".upper() restituisce ""PYTHON""
""python"".removesuffix(""thon"") restituisce ""py""",true,true,0
CHOICE,"15. Quale risultato produce questo codice?

```python
numero = 0.1 + 0.2
print(numero == 0.3)
```",,"False
True
0.3
Errore di valore (`ValueError`)",False,false,true,0
